key,scientific_name,species,family,country,year,month,basis_of_record
4615022132,"Nannopterum brasilianum (J.F.Gmelin, 1789)",Phalacrocorax brasilianus,Phalacrocoracidae,Brazil,2024,11,HUMAN_OBSERVATION
4615790950,"Leptotila verreauxi Bonaparte, 1855",Leptotila verreauxi,Columbidae,Brazil,2024,11,HUMAN_OBSERVATION
4617449709,"Thamnophilus caerulescens Vieillot, 1816",Thamnophilus caerulescens,Thamnophilidae,Brazil,2024,11,HUMAN_OBSERVATION
4621001165,"Polioptila dumicola (Vieillot, 1817)",Polioptila dumicola,Polioptilidae,Brazil,2024,11,HUMAN_OBSERVATION
4621906752,"Egretta thula (Molina, 1782)",Egretta thula,Ardeidae,Brazil,2024,11,HUMAN_OBSERVATION
4628094662,"Anthus chii Vieillot, 1818",Anthus chii,Motacillidae,Brazil,2024,11,HUMAN_OBSERVATION
4632558643,"Vanellus chilensis (Molina, 1782)",Vanellus chilensis,Charadriidae,Brazil,2024,11,HUMAN_OBSERVATION
4636281469,"Paroaria coronata (J.F.Miller, 1776)",Paroaria coronata,Thraupidae,Brazil,2024,11,HUMAN_OBSERVATION
4639611081,"Rupornis magnirostris (Gmelin, 1788)",Rupornis magnirostris,Accipitridae,Brazil,2024,11,HUMAN_OBSERVATION
4642153697,"Icterus pyrrhopterus (Vieillot, 1819)",Icterus cayanensis,Icteridae,Brazil,2024,11,HUMAN_OBSERVATION
4643647693,"Sicalis luteola (Sparrman, 1789)",Sicalis luteola,Thraupidae,Brazil,2024,11,HUMAN_OBSERVATION
4644272379,"Synallaxis spixi P.L.Sclater, 1856",Synallaxis spixi,Furnariidae,Brazil,2024,11,HUMAN_OBSERVATION
4649551734,"Hylocharis chrysura (Shaw, 1812)",Hylocharis chrysura,Trochilidae,Brazil,2024,11,HUMAN_OBSERVATION
4651900519,"Setophaga pitiayumi (Vieillot, 1817)",Setophaga pitiayumi,Parulidae,Brazil,2024,11,HUMAN_OBSERVATION
4653105584,"Pseudoleistes virescens (Vieillot, 1819)",Pseudoleistes virescens,Icteridae,Brazil,2024,11,HUMAN_OBSERVATION
4657838306,"Tyrannus melancholicus Vieillot, 1819",Tyrannus melancholicus,Tyrannidae,Brazil,2024,11,HUMAN_OBSERVATION
4657956600,"Zonotrichia capensis (P.L.S.Müller, 1776)",Zonotrichia capensis,Passerellidae,Brazil,2024,11,HUMAN_OBSERVATION
4658411329,"Anumbius annumbi (Vieillot, 1817)",Anumbius annumbi,Furnariidae,Brazil,2024,11,HUMAN_OBSERVATION
4660142475,"Ardea ibis Linnaeus, 1758",Bubulcus ibis,Ardeidae,Brazil,2024,11,HUMAN_OBSERVATION
4660497390,"Euphonia chlorotica (Linnaeus, 1766)",Euphonia chlorotica,Fringillidae,Brazil,2024,11,HUMAN_OBSERVATION
4660807065,"Ardea alba Linnaeus, 1758",Ardea alba,Ardeidae,Brazil,2024,11,HUMAN_OBSERVATION
4665026499,"Dendrocygna viduata (Linnaeus, 1766)",Dendrocygna viduata,Anatidae,Brazil,2024,11,HUMAN_OBSERVATION
4666868640,"Megaceryle torquata (Linnaeus, 1766)",Megaceryle torquata,Alcedinidae,Brazil,2024,11,HUMAN_OBSERVATION
4668105558,"Leistes superciliaris (Bonaparte, 1850)",Sturnella superciliaris,Icteridae,Brazil,2024,11,HUMAN_OBSERVATION
1891618030,"Eudromia elegans I.Geoffroy Saint-Hilaire, 1832",Eudromia elegans,Tinamidae,France,2022,12,PRESERVED_SPECIMEN
1891619646,"Alopochen aegyptiaca (Linnaeus, 1766)",Alopochen aegyptiaca,Anatidae,France,2022,12,PRESERVED_SPECIMEN
1891619714,"Scolopax rusticola Linnaeus, 1758",Scolopax rusticola,Scolopacidae,France,2022,12,PRESERVED_SPECIMEN
1891619861,"Alopochen aegyptiaca (Linnaeus, 1766)",Alopochen aegyptiaca,Anatidae,France,2022,12,PRESERVED_SPECIMEN
2650162213,"Conirostrum speciosum (Temminck, 1824)",Conirostrum speciosum,Thraupidae,Brazil,2022,12,PRESERVED_SPECIMEN
2650162217,"Coryphospingus pileatus (Wied-Neuwied, 1821)",Coryphospingus pileatus,Thraupidae,Brazil,2022,12,PRESERVED_SPECIMEN
2650162219,"Coryphospingus pileatus (Wied-Neuwied, 1821)",Coryphospingus pileatus,Thraupidae,Brazil,2022,12,PRESERVED_SPECIMEN
2650162224,"Coryphospingus pileatus (Wied-Neuwied, 1821)",Coryphospingus pileatus,Thraupidae,Brazil,2022,12,PRESERVED_SPECIMEN
2650163137,"Phaeomyias murina (Spix, 1825)",Phaeomyias murina,Tyrannidae,Brazil,2022,12,PRESERVED_SPECIMEN
3583875421,"Asio stygius (Wagler, 1832)",Asio stygius,Strigidae,Colombia,2022,12,HUMAN_OBSERVATION
3669721254,"Spinus psaltria (Say, 1822)",Spinus psaltria,Fringillidae,Colombia,2022,12,HUMAN_OBSERVATION
3886889953,"Vanellus chilensis (Molina, 1782)",Vanellus chilensis,Charadriidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891632,"Thraupis episcopus (Linnaeus, 1766)",Thraupis episcopus,Thraupidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891637,"Tyrannus melancholicus Vieillot, 1819",Tyrannus melancholicus,Tyrannidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891642,"Tyrannus savana Vieillot, 1808",Tyrannus savana,Tyrannidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891643,"Ramphastos tucanus Linnaeus, 1758",Ramphastos tucanus,Ramphastidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891649,"Machetornis rixosa (Vieillot, 1819)",Machetornis rixosa,Tyrannidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891650,"Syrigma sibilatrix (Temminck, 1824)",Syrigma sibilatrix,Ardeidae,Colombia,2022,12,HUMAN_OBSERVATION
3886891651,"Opisthocomus hoazin (Statius Muller, 1776)",Opisthocomus hoazin,Opisthocomidae,Colombia,2022,12,HUMAN_OBSERVATION
